N,C,E,seed,heuristic,canon_level,solved,timeout_reason,cost,expanded,generated,duplicates_detected,reopened,canon_calls,canon_time_s,wall_time_s,h_evaluations,open_max_size,closed_max_size,peak_rss_mb
5,4,1,14,h4,L0,1,,13,13,22,0,0,21,8e-06,0.0002,21,9,13,15.2
5,4,1,14,h4,L1,1,,13,13,22,0,0,21,1.6e-05,0.0003,21,9,13,15.2
5,4,1,14,h4,L2,1,,13,13,22,0,0,21,0.000601,0.0009,21,9,13,15.2
5,4,1,14,h4,L3,1,,13,13,22,0,0,21,0.000848,0.0012,21,9,13,15.2
5,4,1,17,h1,L0,1,,14,33,65,16,0,64,2.4e-05,0.0007,48,16,33,15.2
5,4,1,17,h1,L1,1,,14,33,65,17,0,64,4.4e-05,0.0006,47,15,33,15.2
5,4,1,17,h1,L2,1,,14,33,65,17,0,64,0.001613,0.0023,47,15,33,15.2
5,4,1,17,h1,L3,1,,14,33,65,17,0,64,0.001978,0.0027,47,15,33,15.2
5,4,1,17,h4,L0,1,,14,19,41,3,0,40,1.8e-05,0.0004,37,19,19,15.2
5,4,1,17,h4,L1,1,,14,19,41,7,0,40,2.9e-05,0.0004,33,15,19,15.2
5,4,1,17,h4,L2,1,,14,19,41,8,0,40,0.00115,0.0016,32,15,19,15.2
5,4,1,17,h4,L3,1,,14,19,41,8,0,40,0.001659,0.0022,32,15,19,15.2
5,4,1,20,h1,L0,1,,14,51,102,39,0,101,3.4e-05,0.0009,63,13,51,15.2
5,4,1,20,h1,L1,1,,14,51,102,41,0,101,7.3e-05,0.0009,61,13,51,15.2
5,4,1,20,h1,L2,1,,14,50,101,41,0,100,0.002643,0.0037,59,12,50,15.2
5,4,1,20,h1,L3,1,,14,50,101,41,0,100,0.003207,0.0043,59,12,50,15.2
5,4,1,20,h4,L0,1,,14,16,33,1,0,32,1.1e-05,0.0003,31,16,16,15.2
5,4,1,20,h4,L1,1,,14,16,33,3,0,32,2.4e-05,0.0003,29,14,16,15.2
5,4,1,20,h4,L2,1,,14,16,33,4,0,32,0.000914,0.0014,28,13,16,15.2
5,4,1,20,h4,L3,1,,14,16,33,4,0,32,0.001276,0.0017,28,13,16,15.2
5,4,2,0,h1,L0,1,,15,2236,8528,4194,0,8527,0.003232,0.0692,4415,2179,2236,17.3
5,4,2,0,h1,L1,1,,15,696,2709,1788,0,2708,0.00211,0.0203,952,275,696,17.3
5,4,2,0,h1,L2,1,,15,583,2271,1546,0,2270,0.062675,0.0851,759,197,583,17.3
5,4,2,0,h1,L3,1,,15,582,2269,1545,0,2268,0.074089,0.0948,757,196,582,17.3
5,4,2,0,h4,L0,1,,15,69,398,98,0,397,0.000155,0.0031,307,238,69,17.3
5,4,2,0,h4,L1,1,,15,35,200,79,0,199,0.000143,0.0014,120,86,35,17.3
5,4,2,0,h4,L2,1,,15,35,200,79,0,199,0.005121,0.0068,120,86,35,17.3
5,4,2,0,h4,L3,1,,15,35,200,79,0,199,0.00627,0.0081,120,86,35,17.3
5,4,2,1,h1,L0,1,,16,2990,11691,6483,0,11690,0.004347,0.092,5506,2461,2990,18.3
5,4,2,1,h1,L1,1,,16,727,2969,2139,0,2968,0.002648,0.0246,922,241,727,18.3
5,4,2,1,h1,L2,1,,16,706,2899,2108,0,2898,0.094591,0.1248,879,225,706,18.3
5,4,2,1,h1,L3,1,,16,706,2899,2108,0,2898,0.102744,0.1324,879,225,706,18.3
5,4,2,1,h4,L0,1,,16,16,62,3,0,61,2.7e-05,0.0006,58,42,16,18.3
5,4,2,1,h4,L1,1,,16,16,62,19,0,61,4.9e-05,0.0006,42,27,16,18.3
5,4,2,1,h4,L2,1,,16,16,62,20,0,61,0.001643,0.0023,41,26,16,18.3
5,4,2,1,h4,L3,1,,16,16,62,20,0,61,0.002653,0.0033,41,26,16,18.3
5,4,2,2,h1,L0,1,,14,475,1431,479,0,1430,0.000552,0.013,961,486,475,18.3
5,4,2,2,h1,L1,1,,14,239,724,320,0,723,0.000581,0.0062,407,170,239,18.3
5,4,2,2,h1,L2,1,,14,236,713,327,0,712,0.01881,0.0262,389,155,236,18.3
5,4,2,2,h1,L3,1,,14,236,713,327,0,712,0.023421,0.0308,389,155,236,18.3
5,4,2,2,h4,L0,1,,14,16,74,5,0,73,2.7e-05,0.0007,68,52,16,18.3
5,4,2,2,h4,L1,1,,14,15,68,27,0,67,5.5e-05,0.0006,40,26,15,18.3
5,4,2,2,h4,L2,1,,14,15,68,28,0,67,0.001795,0.0024,39,25,15,18.3
5,4,2,2,h4,L3,1,,14,15,68,28,0,67,0.002798,0.0035,39,25,15,18.3
5,4,2,3,h1,L0,1,,14,579,1942,940,0,1941,0.000661,0.0154,1078,499,579,18.3
5,4,2,3,h1,L1,1,,14,280,943,536,0,942,0.000725,0.0075,441,166,280,18.3
5,4,2,3,h1,L2,1,,14,269,903,518,0,902,0.023492,0.0319,419,155,269,18.3
5,4,2,3,h1,L3,1,,14,269,903,518,0,902,0.028194,0.0367,419,155,269,18.3
5,4,2,3,h4,L0,1,,14,96,535,160,0,534,0.000181,0.0041,394,297,96,18.3
5,4,2,3,h4,L1,1,,14,50,279,115,0,278,0.000241,0.0021,164,115,50,18.3
5,4,2,3,h4,L2,1,,14,50,279,115,0,278,0.007143,0.0095,164,115,50,18.3
5,4,2,3,h4,L3,1,,14,50,279,115,0,278,0.008692,0.0112,164,115,50,18.3
5,4,2,4,h1,L0,1,,14,629,2136,1034,0,2135,0.000708,0.0164,1198,569,629,18.3
5,4,2,4,h1,L1,1,,14,302,1027,597,0,1026,0.000804,0.0083,475,179,302,18.3
5,4,2,4,h1,L2,1,,14,302,1027,599,0,1026,0.028385,0.0385,473,177,302,18.3
5,4,2,4,h1,L3,1,,14,302,1027,599,0,1026,0.030083,0.0396,473,177,302,18.3
5,4,2,4,h4,L0,1,,14,14,57,2,0,56,2.1e-05,0.0006,54,40,14,18.3
5,4,2,4,h4,L1,1,,14,14,57,20,0,56,4.3e-05,0.0005,36,23,14,18.3
5,4,2,4,h4,L2,1,,14,14,57,20,0,56,0.001584,0.0022,36,23,14,18.3
5,4,2,4,h4,L3,1,,14,14,57,20,0,56,0.0028,0.0034,36,23,14,18.3
6,4,1,4,h1,L0,1,,21,62,90,14,0,89,3.2e-05,0.0011,75,14,62,18.3
6,4,1,4,h1,L1,1,,21,62,90,18,0,89,7.3e-05,0.0011,71,12,62,18.3
6,4,1,4,h1,L2,1,,21,62,90,19,0,89,0.002937,0.0042,70,12,62,18.3
6,4,1,4,h1,L3,1,,21,62,90,19,0,89,0.004362,0.0057,70,12,62,18.3
6,4,1,4,h4,L0,1,,21,37,62,4,0,61,2.1e-05,0.0007,57,21,37,18.3
6,4,1,4,h4,L1,1,,21,37,62,6,0,61,4.7e-05,0.0008,55,19,37,18.3
6,4,1,4,h4,L2,1,,21,37,62,6,0,61,0.002061,0.0029,55,19,37,18.3
6,4,1,4,h4,L3,1,,21,37,62,6,0,61,0.003408,0.0043,55,19,37,18.3
6,4,1,18,h1,L0,1,,17,52,73,3,0,72,2.6e-05,0.0009,69,18,52,18.3
6,4,1,18,h1,L1,1,,17,52,73,5,0,72,5.7e-05,0.0009,67,16,52,18.3
6,4,1,18,h1,L2,1,,17,50,71,7,0,70,0.002359,0.0034,63,14,50,18.3
6,4,1,18,h1,L3,1,,17,50,71,7,0,70,0.003597,0.0047,63,14,50,18.3
6,4,1,18,h4,L0,1,,17,22,40,2,0,39,1.4e-05,0.0005,37,16,22,18.3
6,4,1,18,h4,L1,1,,17,22,40,4,0,39,3.7e-05,0.0005,35,14,22,18.3
6,4,1,18,h4,L2,1,,17,22,40,4,0,39,0.001363,0.0019,35,14,22,18.3
6,4,1,18,h4,L3,1,,17,22,40,4,0,39,0.0024,0.003,35,14,22,18.3
6,4,1,23,h1,L0,1,,16,61,129,55,0,128,4.3e-05,0.0011,73,18,61,18.3
6,4,1,23,h1,L1,1,,16,61,129,57,0,128,0.000112,0.0013,71,18,61,18.3
6,4,1,23,h1,L2,1,,16,61,129,57,0,128,0.00386,0.0052,71,18,61,18.3
6,4,1,23,h1,L3,1,,16,61,129,57,0,128,0.005353,0.0068,71,18,61,18.3
6,4,1,23,h4,L0,1,,16,18,37,1,0,36,1.3e-05,0.0004,35,18,18,18.3
6,4,1,23,h4,L1,1,,16,18,37,3,0,36,3.5e-05,0.0005,33,16,18,18.3
6,4,1,23,h4,L2,1,,16,18,37,3,0,36,0.001203,0.0017,33,16,18,18.3
6,4,1,23,h4,L3,1,,16,18,37,3,0,36,0.002469,0.003,33,16,18,18.3
6,4,1,27,h1,L0,1,,15,15,27,0,0,26,1e-05,0.0004,26,12,15,18.3
6,4,1,27,h1,L1,1,,15,15,27,1,0,26,2.1e-05,0.0003,25,11,15,18.3
6,4,1,27,h1,L2,1,,15,15,27,1,0,26,0.00083,0.0012,25,11,15,18.3
6,4,1,27,h1,L3,1,,15,15,27,1,0,26,0.00211,0.0025,25,11,15,18.3
6,4,1,27,h4,L0,1,,15,16,33,1,0,32,1.1e-05,0.0004,31,16,16,18.3
6,4,1,27,h4,L1,1,,15,16,33,5,0,32,2.7e-05,0.0004,27,12,16,18.3
6,4,1,27,h4,L2,1,,15,16,33,7,0,32,0.001014,0.0014,25,11,16,18.3
6,4,1,27,h4,L3,1,,15,16,33,7,0,32,0.003009,0.0035,25,11,16,18.3
6,4,1,52,h1,L0,1,,20,37,50,5,0,49,1.7e-05,0.0006,44,9,37,18.3
6,4,1,52,h1,L1,1,,20,37,50,5,0,49,6.6e-05,0.0007,44,9,37,18.3
6,4,1,52,h1,L2,1,,20,37,50,5,0,49,0.001606,0.0024,44,9,37,18.3
6,4,1,52,h1,L3,1,,20,37,50,5,0,49,0.002708,0.0034,44,9,37,18.3
6,4,1,52,h4,L0,1,,20,37,50,5,0,49,1.8e-05,0.0007,44,12,37,18.3
6,4,1,52,h4,L1,1,,20,37,50,5,0,49,3.8e-05,0.0007,44,12,37,18.3
6,4,1,52,h4,L2,1,,20,37,50,5,0,49,0.001651,0.0024,44,12,37,18.3
6,4,1,52,h4,L3,1,,20,37,50,5,0,49,0.002628,0.0035,44,12,37,18.3
6,4,2,0,h1,L0,1,,18,1080,3481,1455,0,3480,0.001513,0.0327,2093,1014,1080,18.3
6,4,2,0,h1,L1,1,,18,535,1725,787,0,1724,0.001406,0.0153,968,436,535,18.3
6,4,2,0,h1,L2,1,,18,521,1681,774,0,1680,0.054236,0.0724,933,415,521,18.3
6,4,2,0,h1,L3,1,,18,521,1681,774,0,1680,0.072508,0.0904,933,415,521,18.3
6,4,2,0,h4,L0,1,,18,18,84,2,0,83,3.2e-05,0.0008,81,63,18,18.3
6,4,2,0,h4,L1,1,,18,18,84,25,0,83,6.6e-05,0.0007,58,41,18,18.3
6,4,2,0,h4,L2,1,,18,18,84,25,0,83,0.002652,0.0035,58,41,18,18.3
6,4,2,0,h4,L3,1,,18,18,84,25,0,83,0.008508,0.0095,58,41,18,18.3
6,4,2,1,h1,L0,1,,19,5681,19190,9701,0,19189,0.009839,0.1873,10029,4151,5681,21.7
6,4,2,1,h1,L1,1,,19,1775,6111,4011,0,6110,0.005513,0.0524,2317,468,1775,21.7
6,4,2,1,h1,L2,1,,19,1720,5930,3922,0,5929,0.18125,0.2395,2212,423,1720,21.7
6,4,2,1,h1,L3,1,,19,1720,5930,3922,0,5929,0.244625,0.3059,2212,423,1720,21.7
6,4,2,1,h4,L0,1,,19,19,77,3,0,76,3.1e-05,0.0008,73,54,19,21.7
6,4,2,1,h4,L1,1,,19,19,77,25,0,76,6.4e-05,0.0007,51,33,19,21.7
6,4,2,1,h4,L2,1,,19,19,77,25,0,76,0.004502,0.0054,51,33,19,21.7
6,4,2,1,h4,L3,1,,19,19,77,25,0,76,0.007644,0.0085,51,33,19,21.7
6,4,2,2,h1,L0,1,,18,1812,5665,2575,0,5664,0.002363,0.053,3280,1474,1812,21.7
6,4,2,2,h1,L1,1,,18,882,2744,1436,0,2743,0.00257,0.0277,1400,526,882,21.7
6,4,2,2,h1,L2,1,,18,779,2399,1272,0,2398,0.075937,0.1017,1210,439,779,21.7
6,4,2,2,h1,L3,1,,18,779,2399,1272,0,2398,0.110434,0.1371,1210,439,779,21.7
6,4,2,2,h4,L0,1,,18,28,193,19,0,192,7.9e-05,0.0017,180,152,28,21.7
6,4,2,2,h4,L1,1,,18,20,129,39,0,128,0.000104,0.001,89,70,20,21.7
6,4,2,2,h4,L2,1,,18,20,129,40,0,128,0.004014,0.0052,88,69,20,21.7
6,4,2,2,h4,L3,1,,18,20,129,40,0,128,0.010117,0.0114,88,69,20,21.7
6,4,2,3,h1,L0,1,,18,7628,30070,17994,0,30069,0.014281,0.272,13023,5040,7628,24.0
6,4,2,3,h1,L1,1,,18,2484,10275,7234,0,10274,0.008952,0.0841,3366,715,2484,24.0
6,4,2,3,h1,L2,1,,18,2417,10058,7131,0,10057,0.320554,0.4178,3240,700,2417,24.0
6,4,2,3,h1,L3,1,,18,2417,10058,7131,0,10057,0.37857,0.4739,3240,700,2417,24.0
6,4,2,3,h4,L0,1,,18,18,93,4,0,92,3.6e-05,0.0008,88,70,18,24.0
6,4,2,3,h4,L1,1,,18,18,93,32,0,92,7.7e-05,0.0008,60,43,18,24.0
6,4,2,3,h4,L2,1,,18,18,93,32,0,92,0.002931,0.0038,60,43,18,24.0
6,4,2,3,h4,L3,1,,18,18,93,32,0,92,0.007058,0.008,60,43,18,24.0
6,4,2,4,h1,L0,1,,20,2896,9127,4614,0,9126,0.004,0.0833,4731,1841,2896,24.0
6,4,2,4,h1,L1,1,,20,1340,4193,2314,0,4192,0.004009,0.0396,1978,646,1340,24.0
6,4,2,4,h1,L2,1,,20,1285,4010,2269,0,4009,0.126976,0.1698,1838,561,1285,24.0
6,4,2,4,h1,L3,1,,20,1283,4004,2268,0,4003,0.155282,0.199,1833,558,1283,24.0
6,4,2,4,h4,L0,1,,20,20,90,2,0,89,3.6e-05,0.0009,87,67,20,24.0
6,4,2,4,h4,L1,1,,20,20,90,30,0,89,7.9e-05,0.0008,59,40,20,24.0
6,4,2,4,h4,L2,1,,20,20,90,31,0,89,0.002959,0.0039,58,39,20,24.0
6,4,2,4,h4,L3,1,,20,20,90,31,0,89,0.007963,0.009,58,39,20,24.0
